CODGEO;LIBGEO;CS1_81_IMMI1_SEXE1;CS1_81_IMMI1_SEXE2;CS1_81_IMMI2_SEXE1;CS1_81_IMMI2_SEXE2;CS1_82_IMMI1_SEXE1;CS1_82_IMMI1_SEXE2;CS1_82_IMMI2_SEXE1;CS1_82_IMMI2_SEXE2;CS1_83_IMMI1_SEXE1;CS1_83_IMMI1_SEXE2;CS1_83_IMMI2_SEXE1;CS1_83_IMMI2_SEXE2;CS1_84_IMMI1_SEXE1;CS1_84_IMMI1_SEXE2;CS1_84_IMMI2_SEXE1;CS1_84_IMMI2_SEXE2;CS1_85_IMMI1_SEXE1;CS1_85_IMMI1_SEXE2;CS1_85_IMMI2_SEXE1;CS1_85_IMMI2_SEXE2;CS1_86_IMMI1_SEXE1;CS1_86_IMMI1_SEXE2;CS1_86_IMMI2_SEXE1;CS1_86_IMMI2_SEXE2;CS1_87_IMMI1_SEXE1;CS1_87_IMMI1_SEXE2;CS1_87_IMMI2_SEXE1;CS1_87_IMMI2_SEXE2;CS1_88_IMMI1_SEXE1;CS1_88_IMMI1_SEXE2;CS1_88_IMMI2_SEXE1;CS1_88_IMMI2_SEXE2
72293;Saint-Jean-du-Bois;0;0;4;0;0;0;16;0;0;0;8;0;0;0;28;32;0;0;16;68;4;0;73;36;4;0;76;84;0;0;93;97
72294;Saint-Léonard-des-Bois;0;0;15;5;0;0;20;0;0;0;10;10;0;0;10;35;0;0;5;35;0;0;60;10;5;0;60;75;0;0;65;65
72295;Saint-Longis;0;0;10;0;5;0;10;5;0;5;0;0;10;0;15;31;0;0;26;41;0;5;51;10;5;0;77;103;0;0;56;67
72296;Saint-Maixent;0;0;16;8;0;0;12;4;0;0;28;4;0;0;28;59;0;0;16;36;0;0;111;71;0;0;51;79;0;0;115;103
72297;Saint-Marceau;0;0;0;5;0;0;15;5;0;0;0;0;0;0;34;19;0;0;15;73;0;0;73;10;0;0;53;63;0;0;73;107
72298;Saint-Mars-de-Locquenay;0;0;5;0;0;0;10;5;0;0;0;5;0;0;39;19;0;0;15;73;5;0;58;29;0;0;58;39;0;0;94;109
72299;Saint-Mars-d'Outillé;0;0;0;0;0;0;30;5;0;0;54;25;0;5;164;109;5;5;65;327;5;0;297;69;0;0;198;218;0;0;346;406
72300;Saint-Mars-la-Brière;0;0;0;0;5;0;30;30;5;0;65;30;5;10;145;120;0;10;125;300;20;10;335;75;0;5;270;300;0;5;385;345
72302;Saint-Martin-des-Monts;0;0;4;0;0;0;8;4;0;0;4;0;0;0;4;8;0;0;4;12;0;0;28;16;0;0;16;12;0;0;32;24
72303;Saint-Michel-de-Chavaignes;0;0;25;10;0;0;25;5;0;0;20;0;0;5;25;20;0;0;20;64;0;0;90;50;0;0;80;100;0;0;110;105
72304;Sainte-Osmane;0;0;0;0;0;0;4;4;0;0;8;12;0;0;0;8;0;0;0;16;0;0;40;4;0;0;20;16;0;0;28;24
72305;Saint-Ouen-de-Mimbré;0;0;5;0;0;0;25;10;0;5;5;5;0;0;45;45;0;10;30;94;0;0;154;45;0;0;104;119;5;0;139;149
72306;Saint-Ouen-en-Belin;0;5;15;15;0;0;30;15;5;0;30;20;5;10;85;60;0;0;25;145;0;0;185;45;10;5;95;75;5;15;210;195
72307;Saint-Ouen-en-Champagne;0;0;0;0;0;0;5;5;0;0;5;5;0;0;14;5;0;0;0;29;0;0;29;14;0;0;24;19;0;0;48;33
72308;Saint-Paterne;0;0;0;0;5;0;30;20;0;0;50;35;0;0;60;55;0;5;45;165;5;0;185;35;5;0;210;250;10;20;215;170
72309;Saint-Paul-le-Gaultier;0;0;5;0;0;0;0;0;0;0;10;0;0;0;20;20;0;0;5;35;0;0;40;15;0;0;35;30;0;0;50;30
72310;Saint-Pavace;0;0;12;0;0;0;44;12;0;0;183;103;0;0;107;194;0;0;56;99;0;0;56;12;8;0;238;254;0;4;282;274
72311;Saint-Pierre-de-Chevillé;0;0;0;5;0;0;10;0;0;5;5;0;0;0;15;10;0;0;10;40;0;0;50;10;0;0;55;50;0;0;55;30
72312;Saint-Pierre-des-Bois;0;0;4;4;0;0;4;0;0;0;4;8;0;0;16;16;0;0;12;16;0;0;24;8;4;0;12;16;0;4;49;32
72313;Saint-Pierre-des-Ormes;0;0;8;0;0;0;8;4;0;0;4;4;0;0;8;20;0;0;12;12;0;0;16;4;0;0;20;36;0;0;36;39
72314;Saint-Pierre-du-Lorouër;0;0;16;4;0;4;24;0;0;0;8;8;0;0;16;4;0;0;4;28;0;0;28;20;0;0;36;40;0;0;52;79
72315;Saint-Rémy-de-Sillé;0;0;4;0;0;4;24;8;0;0;8;8;4;0;41;16;0;4;20;97;0;4;89;36;8;0;97;118;4;4;134;126
72316;Saint-Rémy-des-Monts;0;0;0;0;0;0;25;10;0;0;20;5;0;0;20;49;0;0;5;59;0;0;74;20;5;0;99;104;0;0;109;94
